Card Number,Card Name,Barcode Data
1,Aegon,hh362y5b
2,Agent Venom,0okh6qjt
3,Ant-Man,q6pt1b7v
4,Beast,wm45up70
5,Black Panther Civil War,3ad3kdzo
6,Black Widow,r85d9tqj
7,Blade,lrrjwgsp
8,Captain America,l0kj4w67
9,Captain America Infinity War,g98f0bc2
10,Captain Marvel (Classic),1775vhz2
11,Carnage,og43iawa
12,Civil Warrior,94lku8o4
13,Colossus,0xtpkb9w
14,Corvus Glaive,8qyrgsts
15,Cyclops (Blue Team),767gjmb4
16,Daredevil (Classic),ajz83wgm
17,Deadpool,es75hw9d
18,Dr. Octopus,7gtempd4
19,Doctor Strange,g5nj1xoz
20,Dormammu,hoyix3vj
21,Drax,n5koutu4
22,Falcon,9bep7s5j
23,Gamora,742qde86
24,Ghost,gcrl9dxj
25,Ghost Rider,0a0x9ra4
26,Green Goblin,cetnzbx4
27,Groot,bobn33kk
28,Guillotine,02u28fl8
29,Gwenpool,uxaee7qq
30,Hawkeye,l0390dmz
31,Heimdall,a9kq6w0r
32,Hela,odr0e3j6
33,Howard the Duck,k7em2tcj
34,Hulk,z1dulu6i
35,Hulk (Ragnarok),ie9lwy99
36,Hulkbuster,jp8ec6tm
37,Iceman,g548mah4
38,Iron Fist,ubssn9c0
39,Iron Man (Infinity War),nomd5ghg
40,Joe Fixit,fvcg6ke2
41,Killmonger,mcjj3chr
42,Kingpin,6g848yru
43,Korg,xue8pjgw
44,Loki,eepa8dxc
45,Luke Cage,k6b0lqqs
46,Magneto (Marvel Now),9f7fxpai
47,Masacre,pipj6rl3
48,M.O.D.O.K.,f4hg1sah
49,Morningstar,rzr530nz
50,Nebula,lxslbs7y
51,Phoenix,vu0vmytf
52,Proxima Midnight,o94zahrf
53,Punisher,i59yl6lj
54,Red Hulk,3bksiexs
55,Red Skull,zwd12wug
56,Rocket Raccoon,cc1j32f7
57,Rouge,esk0lhyp
58,Scarlet Witch,gvpz5ek3
59,Spider-Gwen,a36rwaod
60,Spider-Man (Classic),lr8yhb8l
61,Spider-Man (Stark Enhanced),0zafvr67
62,Star-Lord,kqxvysdw
63,Storm,00r7udos
64,Thor Ragnarok,elqgqfj0
65,Ultron,b4wrzugz
66,Venom,q1yke7vi
67,VenomPool,x0e0kkrn
68,Vision (Age of Ultron),hqlxnkqr
69,War Machine,ec4hnz9s
70,Wasp,mrtsugxt
71,Winter Soldier,zct0aw3j
72,Wolverine,5sbkdu4w
73,Wolverine (X-23),ttli3qh3
74,Yellowjacket,2gw0salz
75,Yondu,3zco2ohg
76,Angela,bt9q0yvf
77,Captain Marvel,hueu0v8k
78,Cull Obsidian,wwz5qotx
79,Darkhawk,wwya09vz
80,Ebony Maw,i2wtnz29
81,Gambit,3au4msqm
82,Human Torch,xmox7sz9
83,Invisible Woman,exccsjgr
84,Juggernaut,bfecaysa
85,Magik,erjw5kdi
86,Mister Sinister,tzzmpijg
87,Mysterio,o64woiuw
88,Namor,4y2298vs
89,Nick Fury,udlpu0j8
90,Ronin,zcw18mvs
91,Sabretooth,x3szbl35
92,Sentinel,sc617842
93,She-Hulk,5pywedd9
94,Spider-Man (Stealth Suit),bgvj2alf
95,Taskmaster,a8gpmaro
96,The Hood,p2d9tsmr
97,Thing,fhqfa3qt
98,Thor,5tbd200y
99,Thor (Jane Foster),d2txx1uf
100,Vulture,u8k6bk68
